ID,Division,RAS,RASdesc,pctinvalid,Team,Rank,Title,EducLv,Age,Sex,EthnicGrp,Citizenship,YearsofService,MyRole_Q1,MyRole_Q2,MyRole_Q3,MyRole_Q4,MyRole_Q5,MyRole_Q6,MyRole_Q7,MyRole_Q8,MyRole_Q9,MyRole_Q10,MyRole_Q11,RasManagement_Q1,RasManagement_Q2,RasManagement_Q3,RasManagement_Q4,RasManagement_Q5,RasManagement_Q6,RasManagement_Q7,RasManagement_Q8,RasManagement_Q9,RasManagement_Q10,RasManagement_Q11,RasManagement_Q12,RasManagement_Q13,RasManagement_Q14,RasManagement_Q15,WorkEnvironment_Q1,WorkEnvironment_Q2,WorkEnvironment_Q3,WorkEnvironment_Q4,WorkEnvironment_Q5,WorkEnvironment_Q6,WorkEnvironment_Q7,WorkEnvironment_Q8,WorkEnvironment_Q9,WorkEnvironment_Q10,WorkEnvironment_Q11,WorkEnvironment_Q12,WorkEnvironment_Q13,WorkEnvironment_Q14,WorkEnvironment_Q15,Communication_Q1,Communication_Q2,Communication_Q3,Communication_Q4,Communication_Q5,Communication_Q6,Communication_Q7,Communication_Q8,Communication_Q9,Training_Q1,Training_Q2,Training_Q3,Training_Q4,Training_Q5,Training_Q6,TrainingNeeds_Q1,TrainingNeeds_Q2,TrainingNeeds_Q3,TrainingNeeds_Q4,TrainingNeeds_Q5,TrainingNeeds_Q6,TrainingNeeds_Q7,TrainingNeeds_Q8,TrainingNeeds_Q9,ToolsResourcesAndProcesses_Q1,ToolsResourcesAndProcesses_Q2,ToolsResourcesAndProcesses_Q3,ToolsResourcesAndProcesses_Q4,ToolsResourcesAndProcesses_Q5,ToolsResourcesAndProcesses_Q6,ToolsResourcesAndProcesses_Q7,ToolsResourcesAndProcesses_Q8,ToolsResourcesAndProcesses_Q9,ToolsResourcesAndProcesses_Q10,ToolsResourcesAndProcesses_Q11,OverallSatisfaction_Q1,OverallSatisfaction_Q2,OverallSatisfaction_Q3,OverallSatisfaction_Q4,OverallSatisfaction_Q5,OverallSatisfaction_Q6
22,3,8,Public Health and Nursing,5,1,3,"Research Admin, Post Award III",2,46.40000153,1,1,1,16,4,4,4,3,5,1,3,2,3,,more balance of workload,2,3,4,4,4,2,3,2,1,3,2,4,4,,,4,4,4,3,4,3,3,1,3,3,4,4,2,,It would be nice if other RAS units behaved in a manner more consistent with team work,3,3,5,2,4,4,4,,"Changes at the central level with FGC, OSP need to be communicated better.  Procedures change with no notice.  Salesforce tickets sit far too long without being assigned and are often closed with no resolution to the problem.",1,2,1,3,4,3,0,0,1,0,0,1,1,1,The online training is so generic that it is not effective.  Real life examples need to be incorporated into training.  The training needs to be designed by people who actually do the work and understand it.,2,3,3,3,2,2,1,4,3,,"Colleagues at the Central FGC, set up team, OSP and other RAS units are not as responsive as they should be",3,3,4,3,3,Award set up is a major problems.  Almost all eNOAs are released with errors and salesforce tickets that take weeks to be resolved is not a good way to resolve these issues.  PIs think that the RAS is the problem when it is the award set up team.
23,5,9,Yerkes,8.75,1,3,"Research Admin, Pre-Award III",3,71.30000305,1,1,1,15,5,5,5,5,5,4,5,5,5,,more people to lighten the workload,5,5,5,5,5,1,4,5,5,5,5,5,5,,,5,5,5,5,5,5,5,4,4,5,5,5,4,,,5,5,5,5,5,5,5,,,4,5,4,4,4,4,0,0,1,0,0,0,0,0,Excel for Mac,4,5,4,4,4,4,4,4,5,"Need more people to share workload, would benefit from private work space to enable concentration. would like additional training in Excel for Mac.","Need more people to share workload, would benefit from private work space to enable concentration. would like additional training in Excel for Mac.",5,5,5,5,5,
24,2,1,"Anesthesiology, Brain Health, Orthopaedics, and Surgical Services",8.75,1,2,"Research Admin, Pre-Award II",3,68.40000153,0,2,1,14.19999981,4,4,4,4,4,3,4,4,4,I am satisfied with my job as a Research Administrator,Nothing I can think of at this time,4,4,4,4,4,2,4,4,3,3,4,4,4,I am completely satisfied with my supervisor and RAS Director,Nothing I can think of at this time,4,4,4,4,4,4,4,4,4,4,4,4,4,No additional comments I can think of at this time,Cannot think of any work environment improvement at this time,4,4,4,4,4,4,4,None at this time,Cannot think of any improvements in communication at this time,4,4,4,3,4,3,0,0,0,1,0,0,0,0,Cannot think of any additional professional development training I would like to receive at this time,4,4,4,4,4,3,4,4,4,No additional comments at this time,"Cannot think of improvements with tools, resources and/or processes at this time",4,4,4,4,4,Nothing additional feedback to increase my satisfaction at this time
25,2,6,Hospital and Specialty Services,6.25,1,2,"Research Admin, Pre-Award II",2,40.40000153,1,2,1,9.800000191,4,4,4,5,4,4,5,5,5,,,4,4,4,4,4,2,5,4,4,5,4,4,5,"Both my manager and Director are very supportive, genuine and responsive and show forth that they care about my well being and professional development.",Communication,4,4,4,5,4,4,4,4,4,4,4,4,4,,,4,4,4,4,4,4,4,"When there are small changes, may affect the whole.  These are just kinks that need to be ironed out, but will eventually as this unit is only a year old.","yes, always",3,3,3,3,2,4,1,0,0,0,1,0,0,1,,4,3,3,4,4,4,3,4,5,,,5,4,5,5,4,
26,2,6,Hospital and Specialty Services,2.5,1,3,"Research Admin, Post Award III",3,39,1,2,1,10.69999981,4,4,5,4,5,2,5,4,4,,,5,5,5,5,5,2,4,5,3,3,4,5,5,,,5,4,4,4,4,4,4,3,3,5,5,4,5,,,4,3,4,3,4,4,3,,,2,2,3,4,5,4,1,1,1,1,0,1,0,1,,4,2,3,4,4,3,3,4,4,,,4,5,5,5,4,
27,2,3,Cancer and Imaging,10,1,3,"Research Admin, Pre-Award III",3,62.90000153,1,1,1,12.39999962,3,3,3,2,2,1,2,4,1,"Since the RAS was created and the positions were moved from the departments into the RAS units, staff have lost their link to the department.  We have reduced interaction and involvement in the departments.  We are now focused on managing the work of grans rather than working with faculty to submit grants that result in funds to do research which down the line discovers treatment and cures for diseases to treat patients who come to Emory for patient care.  If we did not already have a working relationshipwith the faculty, this set up does not encourage or enhance that.  If we work with the same faculty over and over we can develop that relationship but if we are assigned to any of a hundred faculty we ""meet and greet"" submit the grant and then move on.  Ad unfortunately, so do the faculty.  They are provided services by so may RAS staff that they often don't know who to contact for assistance with a specific issue, and unfortunately we often have to say ""I did not assist you with that, that was X, you wil need to contact X and she will help you.""  Not the best scenario but given the fractured nature of the job that is the reality.","I think this pre-award, post-award split is not working.  This worked when we were in the departments, and we handled a smaller number of faculty and knew what the faculty were doing.  At this point, there are too many faculty supported by the RAS.  I thik they need to go back to cradle to grave support of faculty for a more cohesive handling of their research administration support.",4,4,5,5,5,2,4,1,1,1,1,1,4,My supervisor is very knowledgeable and very supportive.  She listens to my questions and finds answers.  She listens to my gripes and offers support.  My supervisor is not the director.  The director has clique of people she has hired from her pervious eployment and they are treated differently from the rest of the RAS staff.,ALL staff need to be treated fairly and consistently.,4,4,4,4,1,4,2,4,1,1,4,4,4,"Staff meetings are not productive.  When the director attends she takes over the meetings.  If you present something she does not agree with she talks over you.  She has basically shut down most communication in the meeting. When she does not attend thereis lively open and honest discussion.  Our recognition and team building events within the RAS are not meaningful to me.  They are really not team building events, but social activities, that are mandatory.  ORA/RAS Central recognition and team building eents are not meaningful - again they are social events that are mandatory.  Last year their was a RAS central event that was billed as employee recognition but not one employee was recognized for one thing.","The work environment is oppressive.  RAS Central is focused on branding - having the correct logo line on your email, making sure you respond within a certain time period, etc.  They focus on any and all deviations from the specified plan of action, but nver acknowledge when we work longer, harder or go the extra mile.  As a result, people are not motivated to work longer, harder or go the extra mile.",4,4,1,1,1,2,1,"I strongly disagreed with ""I have a clear understanding of policies and procedures that impact or govern my role"" and ""Changes in goals, decisions, or processes that affect my work are communicated effectively.""  These are Emory issues and not specific tothe RAS.  Emory has a bad habit of having ""policies and procedures"" that are not written down and therefore hard to explain to a faculty member when they question us as to why they can or cannot do something.  It is also very difficult to train new peoplewhen so much of what impacts what we do is not documented.     SD","Overall, I am satisfied with communications in my RAS. NOT.  Very little is communicated effectively.  Most information is passed on word of mouth and if you are in that day or someone tells you you know, otherwise you will find it out later. RAS Central as sent out a number of directives with email that are unclear when to do and when to do it.  Also, RAS Central tends to send things out without test driving them and then they have to recall them, or re-do the form, etc.  They need to make sure their dirctions are clear and concise and that any link they attach is working, and that any form the attach in working.",4,1,3,3,4,2,0,0,0,0,0,0,0,0,"This seems to have improved lately but RAS Central has schedule mandatory training on the day of or before a big NIH deadline.  Not good planning.  Even worse, we presumed they did not even know it was a big NIH deadline.",1,1,1,1,2,1,2,4,3,I do not all the tools and resources I need to do my job effectively.  Last year in my self evaluation and at my evaluation I requested training and tools to adequately do a new aspect of my job.  I am still waiting. The RAS SOPs are clear and concise andeasy to understand and follow - strongly disagree.  They are long and verbose.  They are also sometimes incorrect.  But the most unfortunate things is they do not teach you how to do your job.  .  The RAS staffing (number of staff) is not adequate.  The RS C&I took two pre-award positions and gave them to clinical trials.  As a result the workload has increased and everyone is stressed and everyone struggles to get all the work done correctly in a timely manner.,"One of the greatest difficulties is getting faculty to finalize their proposal in a timely manner.  The OSP guideline is and has been that proposals should be final five working days before the deadline.  Before the RAS we tried to enforce that.  Since th inception of the RAS we are not allowed to push.  As a result, for most of the proposals I do the faculty member drops their final files on the day the proposal is due.  If you have 2 or three proposals due on one day, it's absolute chaos trying to keep p with the files coming in, being uploaded, finalizing proposals, setting them to OSP for review and submission.  It's exhausting.",1,1,1,1,1,"I have worked a lot of places and this is the WORST place I have ever worked.  They say we are professional employees and need to do what ever we need to get the job done - ie stay late, work on the weekend, etc.  And I don't thin you would get disagreemet on that.  However, then they turn around and treat us like salaried employees by sending notices that state  ""As a reminder all out of office communications should be emailed to Tamara and I.   ¥             arriving to the office later than your scheuled start time  ¥             leaving the office earlier than your scheduled leave time  ¥             calling out sick  ¥             requests to change your approved work schedule   ¥             attendance to training classes/meetings on campu during your scheduled working hours  ¥             any extended period of absences away from your workspace besides your lunch period""  Originally we were directed to fill out a paper leave slip for the above time, but that was quickly abandoned. If weare professional employees (and we are) we should be able to manage our workload and that means managing our schedules to be flexible to get the job done on time.  It needs to go both ways, if they want flexibility then they need to be flexible.  We have een asked to fill out multiple surveys over the past few years.  We never receive any feedback from these surveys.  In October 2016 RAS Central did a POPin survey.  I would be interested in receiving a summary of those survey responses.  A year or two agoRAS C&I staff were required to complete a survey as part of a ""health-check""; it was mandatory we were forced to respond.  In fact, many of the questions in this survey are similar to that survey.  I see in the Office of Research Administration Annual Reprt: Fiscal Year 2016 ""Consistent with the FY16 goals established, RAS completed the Health Check pilot in FY16. Health Checks were completed for the DOM RAS and the C&I RAS unit and resulting action plans wer"
28,2,3,Cancer and Imaging,3.75,1,7,"Research Admin, Pre-Award Mgr",2,36.40000153,1,2,1,12.39999962,4,4,4,4,4,3,4,4,4,"Its a work in progress...the good out weighs the bad however, more communication and buy-in from the RAS staff should be incorporated when it comes to policies and procedures. Its ALWAYS changing which makes it a little difficulty to provide consistant qulity customer service",employing additional personnel with experience and knowledge to handle the clinical trials and industry research agreements Provide more hands on training for staff,4,4,4,4,4,2,4,3,4,3,2,4,4,,,2,2,2,4,4,4,4,2,4,4,4,4,4,,,3,3,4,2,3,3,3,,,2,2,2,2,4,2,1,1,1,0,1,0,1,0,,3,2,3,2,2,2,1,4,4,,,4,4,4,4,4,
29,1,4,College and Professional Schools,10,1,2,"Research Admin, Post Award II",1,48.09999847,1,2,1,22.10000038,2,2,3,4,4,1,1,1,3,"The leadership team has provided little to no training that has impacted my success in undwrstanding the SOP's nor in completing tasks associated with my current position.  Additionally, there seems to be limited knowledge in how to apply the SOP's to thetypes of research performed within my unit.",A well-trained leadership team who understands research administration and how to apply it to the day-to-day business practices of the unit they support.,3,2,2,2,2,5,1,1,1,3,1,1,1,My Director is absent quite a bit whether it be vacation time or sick time for self/family member. She is not someone whom I feel comfortable duscussing issues that I have with my manager because it will and has negatively impacted my relationship with mymanager. My Director does not promote a supportive work environment. My manager is incapable of delivering objective feedback and is critical of individual accomplishments.,Allow me to transfer to a DAD unit which compliments my style of work and appreciates hard work and timely completion of tasks.,1,3,3,3,2,2,3,4,3,2,4,4,2,,,2,3,3,2,3,4,3,RAYS central communications are delivered to me from my director. I do not always receive important changes in processes or updates timely. The communications are seldom expounded upon in staff meetings to ensure that everyone has a clear and meaningful uderstanding,Important communications should be discussed in staff meetings to give clarity and allow questions for further clarity.,2,2,4,2,4,4,0,0,0,0,0,0,0,0,Leadership training,4,3,3,4,2,2,2,4,3,,,4,4,2,1,1,Promotions and Merit increases should be based the level of competency you exhibit in completion of tasks and the service you provide to faculty and staff and should never be based on personal feelings.
30,2,6,Hospital and Specialty Services,7.5,1,3,"Research Admin, Pre-Award III",2,57.79999924,1,1,1,12.19999981,5,5,4,2,5,1,4,2,1,,Honestly the office space is awful.,3,4,4,2,1,3,3,4,4,3,2,1,2,My supervisor is often not in the office,,3,2,4,3,2,2,2,2,1,1,4,4,2,The low ceiling and terrible lighting (no windows) are depressing.,Move us back to campus where we are closer to the faculty we support.,4,4,4,3,4,4,4,,,3,3,3,3,4,3,0,1,0,0,1,0,0,0,,4,3,2,2,2,1,2,1,4,,,1,3,3,1,1,
31,2,6,Hospital and Specialty Services,1.25,1,2,"Research Admin, Post Award II",3,60,1,1,1,11.69999981,4,4,4,4,1,1,4,4,3,more autonomy needed,All units should answer emails and approve proposals more quickly.,4,3,3,2,3,4,4,4,4,4,4,4,2,Have effective communication as a goal.,Increase communication skills. Answer emails.,5,4,5,5,5,5,5,5,1,5,5,5,3,Fantastic group I am proud to be a part of.,Our work environment is very loud sometimes which makes it hard to concentrate.,4,1,4,2,2,2,2,Coordinate better with FGC regarding announcements and changes. So much of what we hear is word of mouth rather than an official announcement.,see above.,3,1,2,3,3,3,1,1,1,0,1,1,1,1,,2,2,1,1,3,1,2,3,5,"insert the pre-award manager into EPEX as an approver after the PI, since that is part of the SOP for the application process. This is an effective way to communicate that the manager has approved.","insert the pre-award manager into EPEX as an approver after the PI, since that is part of the SOP for the application process. This is an effective way to communicate that the manager has approved.",3,3,5,5,3,the central RAS celebrations always have long lines and  always run out of food. This makes people feel bad and destroys morale. Are we not worthy? Perhaps you could organize smaller gatherings. Not everyone likes to be herded together in large crowds--itis dehumanizing.
32,1,4,College and Professional Schools,2.5,1,3,"Research Admin, Post Award III",3,49.09999847,0,2,1,11.60000038,4,2,5,4,3,3,3,3,3,"I believe the structure, knowledge required, understanding of university systems and volume of work the RAS is requesting administrators to know and understanding, in addition to keeping up can be beyond the realistic possibilities of the administrator's bility to perform.","Re-evaluate structure of all positions, across a variety of post award subject specialty areas.",4,4,5,5,5,1,4,4,2,3,3,4,3,interesting question because the way the RAS is structured in general.  No sure I can honestly answer this question,,4,4,4,4,2,4,3,2,3,4,4,4,3,very nice and professional,work in progress,3,2,3,3,3,3,3,Less is more and sometimes more impactful,be concise and timely,2,2,2,2,4,1,1,0,0,1,1,1,1,1,basic accounting,3,2,3,4,4,4,3,5,3,I think this should be a major focus of central to ensure the work is done with the tools necessary to complete the task timely and professionally,training on the tools we have and what are our best practices.,4,4,4,3,3,better processes and training
33,3,8,Public Health and Nursing,10,1,7,"Research Adm, Post-Award Mgr",3,40.70000076,0,1,1,11.30000019,5,5,5,5,5,3,5,5,4,,"Improvements in ""central"" office processes (Cash Collection, Award Setup)",4,4,5,5,5,2,5,4,4,5,3,4,5,,,4,4,4,4,4,4,2,3,2,4,4,4,4,,,4,4,4,4,3,3,4,,,4,3,4,3,1,4,0,0,0,0,0,0,0,0,,4,4,4,4,3,3,4,4,4,,,4,3,4,4,4,
34,2,6,Hospital and Specialty Services,1.25,1,7,"Research Adm, Post-Award Mgr",3,47.09999847,1,2,1,11.30000019,4,2,3,4,5,4,2,3,4,,,2,3,4,3,4,2,3,4,2,1,4,5,4,,Be more responsive to complaints (including timeliness),4,3,4,4,4,2,3,2,2,4,4,3,4,,,2,1,2,1,3,2,2,,,4,2,3,3,4,2,1,1,1,1,1,1,0,1,,2,1,2,2,4,4,4,1,4,,,4,3,3,4,2,
35,2,6,Hospital and Specialty Services,6.25,1,3,"Research Admin, Post Award III",3,39.90000153,0,1,1,11.10000038,4,4,5,5,5,4,5,4,4,,,4,4,4,5,5,1,4,4,3,4,4,4,4,,,5,4,4,4,4,4,4,2,4,4,4,4,4,,,4,3,4,4,4,4,4,,,4,4,4,4,3,3,0,1,1,0,0,0,0,1,,4,4,3,4,4,4,4,4,4,We hear there is a new comprehensive award reconciliation tool for providing feedback to PIs regarding financials.  I look forward to this being rolled out.,"I think the new tool should address shortfalls in the current process were multiple reports need to be run and combined to give a full picture of the budget, expenses, labor, and cash posted to the award.",4,4,5,4,4,"My RAS has made efforts to improve work/life balance by approving work from home flexibility. I would like this to be extended to include more flexibility, 2 days/week?"
36,2,6,Hospital and Specialty Services,8.75,1,3,"Research Admin, Post Award III",3,45.09999847,0,1,1,10.80000019,5,5,5,5,5,4,5,4,4,overall satisifed,"easier ways to send information to FGC, the Salesforce system seems to always have issues",5,5,5,5,5,1,4,4,4,4,4,4,5,overall satisfied,,4,4,4,4,4,4,4,3,3,4,4,4,4,overall satisfied,,4,4,3,2,3,3,4,overall satisfied,could have better communication on policy changes with RAS staff,4,4,3,3,3,3,0,0,0,0,0,1,0,0,,4,4,3,3,4,4,4,4,4,ok overall,"Salesforce is a very inefficient way to submit information, also it is very cumbersome to submit signed forms for simple things like budget overrides",4,3,4,4,3,
37,2,6,Hospital and Specialty Services,5,1,7,"Research Admin, Pre-Award Mgr",2,47.90000153,1,2,1,10.80000019,3,3,3,3,3,4,3,3,3,Pre-award is not regarded as important as post-award.,Inequities in pay scales is heartbreaking.,4,3,4,3,3,2,3,3,3,3,3,3,4,Thank you,"Understanding that SOM and HR controls pay, pay inequality  hasn't been addressed.",3,3,3,3,3,3,3,3,3,3,3,2,1,Fair,Improve space.,3,3,3,3,3,3,3,Most communication is geared towards post-award.,Make relevant to everyone.,2,2,3,3,3,3,1,0,1,0,0,1,0,1,,3,3,3,3,3,3,3,3,3,,,3,3,3,3,3,
38,3,8,Public Health and Nursing,8.75,1,2,"Research Admin, Pre-Award II",2,54.70000076,1,2,1,10.69999981,2,2,3,4,5,2,1,3,3,,Not being a scapegoat for the faculty who are continually last minute and late with their submissions,4,3,4,3,3,2,3,1,1,3,4,3,3,,Unsure,3,4,4,4,4,3,2,3,2,1,4,4,1,,"If promises that were made when I started this position were honored.  Also if faculty were not ""right""",4,3,4,1,3,3,3,,"By management actually doing what they say they will, when it comes to supporting staff",4,4,3,4,3,3,0,0,1,0,0,0,0,0,,4,3,2,4,4,3,3,4,4,,"When it comes to what's acceptable, in terms of policies, depending on who we ask, we get a different answer for the same situation. There are too many moving targets.",2,2,2,3,3,If management honored the promise that was made to me before they changed directors.
39,2,1,"Anesthesiology, Brain Health, Orthopaedics, and Surgical Services",5,1,7,"Research Adm, Post-Award Mgr",2,36,1,1,1,10.69999981,5,5,5,5,5,4,4,5,5,My Director is very approachable and I am free to shares ideas.,,5,5,5,5,5,1,5,5,3,4,3,5,5,,,4,2,3,3,3,4,4,3,3,5,5,5,4,,,5,5,5,5,5,5,5,,,4,3,2,3,4,3,0,1,0,0,0,1,1,1,,4,3,5,4,3,3,3,2,4,"I am a manager and do not have an office with a door. It is difficult to have private conversations with staff or regarding HR concerns without leaving my office. Also without a door, I am often times interrupted during important work so I find myself woring extra hours at home, coming in early and/or leaving late.",,4,4,5,5,4,More ways to facilitate collaboration among the RAS groups besides the formal events.
40,2,1,"Anesthesiology, Brain Health, Orthopaedics, and Surgical Services",5,1,2,"Research Admin, Pre-Award II",3,42.20000076,1,2,1,9.800000191,4,2,5,4,5,2,4,3,4,"I'm a Pre Award II, however, my post award colleagues are required to do entirely too much work as it seems FGC is disbanding and their duties are now trickling down to post award- this has not been efficient nor is it fair as far as workload and responsiilities.","If ALL of our Department Chairs agree to an OFFICIAL policy for late submissions.  For instance, if the RAS is notified about a pending submission less than 7 business days before the deadline- the PI will have to get approval from the Chair.  This would ut down on the last minutes submissions which can't be in good form if it's prepared less than 2 weeks before it's due.  I get it- PIs need the grants to live- this is a fact, but honestly it puts the RAS, other schools, other departments and Chairs and OP in a very rushed and stressful state unecessarily.  Honestly, it's professionally rude, narcissitic and callous to not care about the impact that late submissions have on a multitude of people and processes - and NO the PIs are NOT unaware of this, but f the Chairs do it and no official policy exists what recourse do RAS pre award employees have to insure they're not always stressed by late submissions?  Mr. Provost, it would be great to value your staff more by words and deeds.  PS- what's the deal wit all the RAS ice cream socials and luncheons? Keep the rocky road and the pasta bar, can I get a Visa gift card instead?",5,5,5,5,5,1,5,3,3,4,4,5,5,"Sherri Rushing's years of experience and knowledge level are very much appreciated, but her ability and willingness to have our backs when accused or mistreated by a PI is what makes her the best Supervisor I've ever had while at Emory","Michelle Smith goes out of her way to insure our whole team feels welcomed, motivated, inspired and let's us know frequently how much she appreciates not just our hard work, but us as individuals as well.",5,5,5,5,4,5,5,3,1,4,3,4,1,Work environment is great- I genuinely like everyone I work with (some more than others- LOL!),"Less post vs. pre workload comparison and suspiscion that pre award doesn't have enough work to do, which seemingly leads to a made up a reason to get pre award to do some post award work, when the real deal is that post award DOES have A LOT of work to d (which they are compensated at a higher rate for) so maybe they need more staff.",4,1,3,3,3,3,4,,"More fact sheets, concise and correct SOPs, MANDATORY BI-ANNUAL TRAINING or FACT SHEET FOR ALL PIs ABOUT HOW TO ROUTE GRANTS (because things change for both federal and non federal grant submissions and it saves us loads of time explaining the changes andonce they acknowledge that THEY TOO must adhere to the changes or risk not being in compliance and therefore unable to submit the grant).",2,3,3,4,2,4,0,1,1,0,0,0,1,1,"We need an adequate budget for training, right? Ours is miniscule so is this like sending a letter to Santa or emailing God? Well then here goes..... Dear God, it's me - Mary Margaret, I would like to take the following classes to continue my professionaldevelopment: Communicating with Impact, Crucial Conversations, Increasing Personal Effectiveness, Situational Leadership, Strategies for Influencing Others and finally, Developing Yourself and Others.  I would like to take these classes in the hope that wth such professional development and skill enhancement I would be able to receive a merit increase that inspires me to continue to be great instead of receiving federal government inspired increases that tend to be demoralizing.",4,1,1,2,3,2,1,1,5,"ABOSS RAS provides me with adequate tools, resources and processes to do my job.  I haven't had the same experience with RAS Central's tools, resources or processes.","They could be correct and up to date.  A committee of SENIOR PRE AND POST AWARD employees, Supervisors and Managers need to correct and update the tools, resources, processes and SOPs, emphasis on the employee participants.",4,3,5,5,1,"Being in ABOSS RAS as a Pre Award is the best. I think we should work from home to decrease stress (Atlanta traffic- full stop), our carbon footprint and address the space issue for office space.  The building I work in looks like a warehouse on the insid, we have 3 inch nails protruding from the ceiling, exposed ducts, pipes and I doubt our ventilation system would pass an OSHA inspection.  My TEAM makes up for the awful office digs, but I'd like to be sure my health isn't compromised and I'd like my gradchildren that I don't have yet to know what 'being in nature' feels like or not to have to wear sunblock 3000 due to greenhouse gases.  We have green buildings, but we can have better green policies, be an industry innovator, help our city and environmen, boost morale and really incentivize working in a RAS if it was a mostly WFH situation."
41,2,7,Pediatrics,3.75,1,7,"Research Adm, Post-Award Mgr",3,55.5,1,1,1,9.5,5,4,5,5,5,4,5,5,5,We have a wonderful and truly supportive Director. The team that has been assembled is the finest group of which I am proud to be a member.,Better support from our central offices in particular OSP and FGC.,3,4,5,5,5,2,4,5,4,3,4,5,5,,,5,5,5,5,4,4,4,4,4,5,4,3,2,,,4,4,4,4,4,4,4,,,3,3,2,2,5,2,0,1,1,0,0,1,1,1,,4,4,4,2,4,4,3,5,4,ART and PACT aren't always reliable. On-Base is cumbersome to use and is no better than ComSquared. There've been nothing but problems with On-Base and Salesforce which were supposed to be improvements.,,5,5,5,5,5,I think the RAS is great and I am very grateful to be a member of the Peds RAS. My overall level of satisfaction with my job would increase if OSP and FGC and the cash team could improve their practices and workflow. OSP contracts does things differently han OSP grants. There's a lack of consistency in the way our Central offices want things done. We are fortunate in that we have monthly meetings with our FGC team and the contracts team. Wish the grants team would do the same.
42,5,9,Yerkes,6.25,1,2,"Research Admin, Pre-Award II",1,56.29999924,1,3,1,8.899999619,3,3,3,5,5,1,1,3,2,"The RAS at Yerkes is very unique. RAS, Pre-award are also performing administrative duties/supporting PI(s) and their lab(s). There's no clear understanding on how we; Yerkes, Pre-award; is to manage our pre-award duties as well as our administrative dutis, we don't have regular meetings and at this time we don't have a Pre-award manager.  We have also been told we can't work from home or telecommute, don't Emory prompts 'telecommuting'.","More meetings and communication, especially when there's a change within RAS, Pre-award RAS, Pre-award manager",2,2,2,2,3,4,3,2,3,2,1,2,2,"Our previous RAS Pre-award manager, Katherine Pope, was a micro-manager, zero communication between us, love to send emails instead of one-on-one and there was rarely clear instructions from her.  RAS director is a procrastinator, but she also have too muh on her plate, still trying to manage accounts instead of delegating them to the appropriate RAS Post-award person.",Meet deadlines Give feedback timely Share tools which are needed to perform our RAS Pre-award duties,3,2,3,3,2,2,3,4,4,2,5,5,1,,,2,2,2,2,4,4,4,,,4,4,3,3,4,4,0,1,1,0,1,0,0,0,,3,3,3,3,2,2,2,5,3,,,3,3,3,3,3,
43,2,1,"Anesthesiology, Brain Health, Orthopaedics, and Surgical Services",7.5,1,3,"Research Admin, Post Award III",2,44.09999847,1,1,1,2.200000048,4,2,4,5,5,2,3,2,3,"I acknowledge that there are many classes available via ELMS, however after participating in them I notice that they are presented at a high level and do not present us with the tools necessary to perform our jobs.",,5,5,4,4,3,2,3,3,2,3,2,3,4,My post-award manager is extremely knowledgeable and helpful.,,4,4,4,4,2,4,2,2,3,2,3,4,2,,,4,2,2,2,3,4,3,,,4,2,3,4,2,3,0,0,1,0,0,1,0,0,1. CRA certificate training. 2. Advanced formulas in excel.,2,3,3,2,2,2,4,2,3,,,2,4,4,4,2,
44,2,5,Department of Medicine,3.75,1,2,"Research Admin, Pre-Award II",3,37,1,2,1,6.800000191,5,5,5,5,5,4,5,5,5,,"We are a bit short handed, hiring a few more people would make the job a little more smooth going.",5,5,5,5,5,1,5,5,5,5,4,5,5,,,5,5,5,5,5,5,5,4,4,5,5,5,4,,,5,5,5,5,5,5,5,,,5,4,5,4,4,4,1,1,1,0,1,0,1,0,,5,4,3,5,4,4,4,5,4,,,5,5,5,5,5,
45,2,2,Basic Sciences,10,1,3,"Research Admin, Post Award III",2,49.79999924,1,1,1,6.5,5,4,5,4,5,1,2,4,4,,"I feel as though the workload in post-award is too heavy for the current number of administrators. If we had at least 1, or even 2, more administrators, the moral and job satisfaction would increase in the RAS. The PI's would be happier, as they would recive more personalized attention and actions would be taken in a more timely manner.",3,4,5,4,5,1,4,5,5,3,4,4,4,,,5,4,4,5,4,4,4,4,3,4,5,5,4,"The new, higher cubicle walls have helped with the noise level.","We have no where to meet if we need to discuss something private with our supervisor or manager. Even though the manager has a door on her cubicle, someone could hear the conversation if they stood outside her door. A place to eat lunch, rather than alway having to eat at your desk and smell/hear everyone else's lunch would be nice.",5,5,4,2,4,4,4,The communication within our RAS and RAS central is fine. It is the communication from OSP and FGC which is lacking. Changes are made to OSP/FGC polices and procedures which are not communicated to the RASs. We find out the changes when trying to resolve  problem.,,2,4,2,2,4,3,0,0,0,0,0,0,0,0,"I was thinking more along the lines of grant administration and the type of training and knowledge we receive at conferences. Also the interaction with those from other universities at conferences is tremendously valuable. You learn so much about what prolems they are having, how they resolved past problems, unusual situations which may be similar to something we are experiencing, etc. For the non-supervisor staff to attend a conference every 7-8 years isn't effective training.",4,3,3,3,2,2,1,3,4,Post-award needs additional personnel.,,4,3,4,4,5,"Additional funding for non-supervisor staff to attend conferences and training classes.   Side note - Beatriz, our new director, is wonderful. Everyone in the RAS seems to like her and respect her."
